comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
steady_eager_over_lazy,steady,8,ABBA,1,B,same_image_eager,1,28880027,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,2,B,same_image_eager,1,28885671,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,3,A,lazy,0,57819548,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,0,B,same_image_eager,1,28903919,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,1,A,lazy,0,57823943,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,2,A,lazy,0,57832324,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,3,B,same_image_eager,1,28879942,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,0,A,lazy,0,57899117,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,1,B,same_image_eager,1,28883270,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,2,B,same_image_eager,1,28888049,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,3,A,lazy,0,57834334,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,0,B,same_image_eager,1,28888764,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,1,A,lazy,0,57892246,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,2,A,lazy,0,28880830,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,3,B,same_image_eager,1,28961707,25624938568,ok,
steady_aa,steady,0,ABBA,0,A,lazy,0,28895994,25624938568,ok,
steady_aa,steady,0,ABBA,1,B,lazy_b,0,57814016,25624938568,ok,
steady_aa,steady,0,ABBA,2,B,lazy_b,0,53932701,25624938568,ok,
steady_aa,steady,0,ABBA,3,A,lazy,0,28885035,25624938568,ok,
steady_aa,steady,1,BAAB,0,B,lazy_b,0,57888838,25624938568,ok,
steady_aa,steady,1,BAAB,1,A,lazy,0,57782796,25624938568,ok,
steady_aa,steady,1,BAAB,2,A,lazy,0,57823465,25624938568,ok,
steady_aa,steady,1,BAAB,3,B,lazy_b,0,57775177,25624938568,ok,
steady_aa,steady,2,ABBA,0,A,lazy,0,57774993,25624938568,ok,
steady_aa,steady,2,ABBA,1,B,lazy_b,0,57824610,25624938568,ok,
steady_aa,steady,2,ABBA,2,B,lazy_b,0,57782934,25624938568,ok,
steady_aa,steady,2,ABBA,3,A,lazy,0,57831851,25624938568,ok,
steady_aa,steady,3,BAAB,0,B,lazy_b,0,57799820,25624938568,ok,
steady_aa,steady,3,BAAB,1,A,lazy,0,58009125,25624938568,ok,
steady_aa,steady,3,BAAB,2,A,lazy,0,57821832,25624938568,ok,
steady_aa,steady,3,BAAB,3,B,lazy_b,0,57779721,25624938568,ok,
steady_aa,steady,4,ABBA,0,A,lazy,0,57825982,25624938568,ok,
steady_aa,steady,4,ABBA,1,B,lazy_b,0,57780933,25624938568,ok,
steady_aa,steady,4,ABBA,2,B,lazy_b,0,57775042,25624938568,ok,
steady_aa,steady,4,ABBA,3,A,lazy,0,57861355,25624938568,ok,
steady_aa,steady,5,BAAB,0,B,lazy_b,0,57784722,25624938568,ok,
steady_aa,steady,5,BAAB,1,A,lazy,0,57827553,25624938568,ok,
steady_aa,steady,5,BAAB,2,A,lazy,0,57849536,25624938568,ok,
steady_aa,steady,5,BAAB,3,B,lazy_b,0,57780548,25624938568,ok,
steady_aa,steady,6,ABBA,0,A,lazy,0,57787842,25624938568,ok,
steady_aa,steady,6,ABBA,1,B,lazy_b,0,57831426,25624938568,ok,
steady_aa,steady,6,ABBA,2,B,lazy_b,0,57784584,25624938568,ok,
steady_aa,steady,6,ABBA,3,A,lazy,0,57824004,25624938568,ok,
steady_aa,steady,7,BAAB,0,B,lazy_b,0,57782728,25624938568,ok,
steady_aa,steady,7,BAAB,1,A,lazy,0,28895547,25624938568,ok,
steady_aa,steady,7,BAAB,2,A,lazy,0,58024584,25624938568,ok,
steady_aa,steady,7,BAAB,3,B,lazy_b,0,57842342,25624938568,ok,
steady_aa,steady,8,ABBA,0,A,lazy,0,57782711,25624938568,ok,
steady_aa,steady,8,ABBA,1,B,lazy_b,0,57771118,25624938568,ok,
steady_aa,steady,8,ABBA,2,B,lazy_b,0,57776399,25624938568,ok,
steady_aa,steady,8,ABBA,3,A,lazy,0,57818375,25624938568,ok,
steady_aa,steady,9,BAAB,0,B,lazy_b,0,57838438,25624938568,ok,
steady_aa,steady,9,BAAB,1,A,lazy,0,57785946,25624938568,ok,
steady_aa,steady,9,BAAB,2,A,lazy,0,28885223,25624938568,ok,
steady_aa,steady,9,BAAB,3,B,lazy_b,0,57825766,25624938568,ok,
steady_aa,steady,10,ABBA,0,A,lazy,0,57778522,25624938568,ok,
steady_aa,steady,10,ABBA,1,B,lazy_b,0,57778026,25624938568,ok,
steady_aa,steady,10,ABBA,2,B,lazy_b,0,28889789,25624938568,ok,
steady_aa,steady,10,ABBA,3,A,lazy,0,57820120,25624938568,ok,
steady_aa,steady,11,BAAB,0,B,lazy_b,0,57847149,25624938568,ok,
steady_aa,steady,11,BAAB,1,A,lazy,0,57842052,25624938568,ok,
steady_aa,steady,11,BAAB,2,A,lazy,0,57783019,25624938568,ok,
steady_aa,steady,11,BAAB,3,B,lazy_b,0,57828131,25624938568,ok,
