comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
fetch_add_seqcst_relaxed,8,2,fetch_add_seqcst,10000000,3095,1000000,5680796,56915192,5.691519200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,8,3,fetch_add_relaxed,10000000,3206,1000000,5692536,56819863,5.681986300,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,8,0,store_relaxed,50000000,3125,1000000,156346,7858080,0.157161600,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,8,1,store_relaxed,50000000,3047,1000000,156403,7849981,0.156999620,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,9,0,store_release,50000000,2972,1000000,156373,7840527,0.156810540,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,9,1,store_relaxed,50000000,2943,1000000,156351,7839565,0.156791300,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,9,2,store_relaxed,50000000,4900,1000000,156348,7838316,0.156766320,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,9,3,store_release,50000000,3024,1000000,156354,7845053,0.156901060,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,0,store_seqcst,50000000,2902,1000000,5322950,266407454,5.328149080,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,9,1,store_release,50000000,3282,1000000,156385,7840794,0.156815880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,2,store_release,50000000,3011,1000000,156345,7840110,0.156802200,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,9,3,store_seqcst,50000000,3107,1000000,5339412,266373538,5.327470760,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
fetch_add_seqcst_relaxed,9,0,fetch_add_seqcst,10000000,3152,1000000,5680612,56835377,5.683537700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,9,1,fetch_add_relaxed,10000000,5013,1000000,5690443,56820822,5.682082200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,9,2,fetch_add_relaxed,10000000,2893,1000000,5677709,56846814,5.684681400,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,9,3,fetch_add_seqcst,10000000,3222,1000000,5693486,56817789,5.681778900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
store_relaxed_aa,9,0,store_relaxed,50000000,2984,1000000,171460,7823394,0.156467880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,9,1,store_relaxed,50000000,2915,1000000,172605,7824072,0.156481440,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,10,0,store_relaxed,50000000,4907,1000000,156348,7838639,0.156772780,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,10,1,store_release,50000000,3219,1000000,156349,7869794,0.157395880,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,10,2,store_release,50000000,2957,1000000,175106,7823764,0.156475280,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,10,3,store_relaxed,50000000,3190,1000000,156377,7826151,0.156523020,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
store_seqcst_release,10,0,store_release,50000000,3115,1000000,156432,7821316,0.156426320,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
store_seqcst_release,10,1,store_seqcst,50000000,3028,1000000,5431086,266411652,5.328233040,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,10,2,store_seqcst,50000000,4744,1000000,5319348,266362690,5.327253800,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,10,3,store_release,50000000,4950,1000000,156355,7843574,0.156871480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,10,0,fetch_add_relaxed,10000000,3044,1000000,5697365,56840048,5.684004800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,10,1,fetch_add_seqcst,10000000,3016,1000000,5679569,56921671,5.692167100,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,10,2,fetch_add_seqcst,10000000,3189,1000000,5693502,56878174,5.687817400,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,10,3,fetch_add_relaxed,10000000,3355,1000000,5683516,56815316,5.681531600,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,10,0,store_relaxed,50000000,3267,1000000,156351,7842826,0.156856520,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-xxl-output/binaries/atomic-cost-native store_relaxed 50000000
