comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
first_use_eager_over_lazy,first_use,8,ABBA,1,B,same_image_eager,1,71620,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,2,B,same_image_eager,1,71420,8419328,ok,
first_use_eager_over_lazy,first_use,8,ABBA,3,A,lazy,0,891610,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,0,B,same_image_eager,1,70760,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,1,A,lazy,0,900620,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,2,A,lazy,0,895690,8419328,ok,
first_use_eager_over_lazy,first_use,9,BAAB,3,B,same_image_eager,1,71380,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,0,A,lazy,0,903450,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,1,B,same_image_eager,1,71000,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,2,B,same_image_eager,1,70530,8419328,ok,
first_use_eager_over_lazy,first_use,10,ABBA,3,A,lazy,0,895320,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,0,B,same_image_eager,1,71410,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,1,A,lazy,0,880340,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,2,A,lazy,0,886290,8419328,ok,
first_use_eager_over_lazy,first_use,11,BAAB,3,B,same_image_eager,1,71510,8419328,ok,
first_use_aa,first_use,0,ABBA,0,A,lazy,0,900840,8419328,ok,
first_use_aa,first_use,0,ABBA,1,B,lazy_b,0,900930,8419328,ok,
first_use_aa,first_use,0,ABBA,2,B,lazy_b,0,894940,8419328,ok,
first_use_aa,first_use,0,ABBA,3,A,lazy,0,892710,8419328,ok,
first_use_aa,first_use,1,BAAB,0,B,lazy_b,0,887150,8419328,ok,
first_use_aa,first_use,1,BAAB,1,A,lazy,0,884290,8419328,ok,
first_use_aa,first_use,1,BAAB,2,A,lazy,0,892199,8419328,ok,
first_use_aa,first_use,1,BAAB,3,B,lazy_b,0,895750,8419328,ok,
first_use_aa,first_use,2,ABBA,0,A,lazy,0,887770,8419328,ok,
first_use_aa,first_use,2,ABBA,1,B,lazy_b,0,896790,8419328,ok,
first_use_aa,first_use,2,ABBA,2,B,lazy_b,0,908080,8419328,ok,
first_use_aa,first_use,2,ABBA,3,A,lazy,0,888780,8419328,ok,
first_use_aa,first_use,3,BAAB,0,B,lazy_b,0,894810,8419328,ok,
first_use_aa,first_use,3,BAAB,1,A,lazy,0,889030,8419328,ok,
first_use_aa,first_use,3,BAAB,2,A,lazy,0,890480,8419328,ok,
first_use_aa,first_use,3,BAAB,3,B,lazy_b,0,896910,8419328,ok,
first_use_aa,first_use,4,ABBA,0,A,lazy,0,901640,8419328,ok,
first_use_aa,first_use,4,ABBA,1,B,lazy_b,0,917990,8419328,ok,
