comparison,block,slot,operation,iterations,setup_ns,warmup_iterations,warmup_ns,elapsed_ns,ns_per_operation,checksum,command
store_seqcst_release,8,2,store_seqcst,50000000,4652,1000000,193411,9689160,0.193783200,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_seqcst 50000000
store_seqcst_release,8,3,store_release,50000000,4715,1000000,193385,9684256,0.193685120,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
fetch_add_seqcst_relaxed,8,0,fetch_add_relaxed,10000000,4795,1000000,5047127,50633412,5.063341200,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
fetch_add_seqcst_relaxed,8,1,fetch_add_seqcst,10000000,4687,1000000,5046915,50542747,5.054274700,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,8,2,fetch_add_seqcst,10000000,4597,1000000,5049661,50485339,5.048533900,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_seqcst 10000000
fetch_add_seqcst_relaxed,8,3,fetch_add_relaxed,10000000,4667,1000000,5062047,50528018,5.052801800,10000000,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native fetch_add_relaxed 10000000
store_relaxed_aa,8,0,store_relaxed,50000000,4913,1000000,193184,9680718,0.193614360,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_relaxed_aa,8,1,store_relaxed,50000000,4687,1000000,193173,9679023,0.193580460,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,9,0,store_release,50000000,4810,1000000,193359,9734667,0.194693340,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_release 50000000
store_release_relaxed,9,1,store_relaxed,50000000,4492,1000000,193178,9686874,0.193737480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
store_release_relaxed,9,2,store_relaxed,50000000,4528,1000000,193196,9682174,0.193643480,49999999,taskset --cpu-list 3 /tmp/topic22-5f93fdb-arm/output/binaries/atomic-cost-native store_relaxed 50000000
